Date,Opponent,Attendance
2023-08-24,Athletic Bilbao,46448
2023-08-31,Real Valladolid,44359
2023-09-25,Getafe,44407
2023-10-01,Young Boys,45097
2023-10-20,Sevilla,47848
2023-10-23,Bayern Munich,50312
2023-11-03,Espanyol,48843
